KB,AQI-0,AQI-1,AQI-2,AQI-3,AQI-4,AQI-5
2013-05-22T09,0,NaN,NaN,NaN,NaN,NaN
2013-05-22T10,0,0,NaN,NaN,NaN,NaN
2013-05-22T11,0,0,0,NaN,NaN,NaN
2013-05-22T12,0,0,0,0,NaN,NaN
2013-05-22T13,0,0,0,0,0,NaN
2013-05-22T14,0,0,0,0,0,0
2013-05-22T15,0,0,0,0,0,0
2013-05-22T16,0,0,0,0,0,0
2013-05-22T17,0,0,0,0,0,0
2013-05-22T18,0,0,0,0,0,0
2013-05-22T19,0,0,0,0,0,0
2013-05-22T20,0,0,0,0,0,0
2013-05-22T21,0,0,0,0,0,0
2013-05-22T22,0,0,0,0,0,0
2013-05-22T23,0,0,0,0,0,0
2013-05-23T00,0,0,0,0,0,0
2013-05-23T01,0,0,0,0,0,0
2013-05-23T02,0,0,0,0,0,0
2013-05-23T03,0,0,0,0,0,0
2013-05-23T04,0,0,0,0,0,0
2013-05-23T05,0,0,0,0,0,0
2013-05-23T06,0,0,0,0,0,0
2013-05-23T07,0,0,0,0,0,0
2013-05-23T08,0,0,0,0,0,0
2013-05-23T09,0,0,0,0,0,0
2013-05-23T10,0,0,0,0,0,0
2013-05-23T11,0,0,0,0,0,0
2013-05-23T12,0,0,0,0,0,0
2013-05-23T13,0,0,0,0,0,0
2013-05-23T14,0,0,0,0,0,0
2013-05-23T15,115,0,0,0,0,0
2013-05-23T16,125,115,0,0,0,0
2013-05-23T17,133,125,115,0,0,0
2013-05-23T18,132,133,125,115,0,0
2013-05-23T19,128,132,133,125,115,0
2013-05-23T20,126,128,132,133,125,115
2013-05-23T21,125,126,128,132,133,125
2013-05-23T22,127,125,126,128,132,133
2013-05-23T23,129,127,125,126,128,132
2013-05-24T00,137,129,127,125,126,128
2013-05-24T01,147,137,129,127,125,126
2013-05-24T02,156,147,137,129,127,125
2013-05-24T03,163,156,147,137,129,127
2013-05-24T04,170,163,156,147,137,129
2013-05-24T05,176,170,163,156,147,137
2013-05-24T06,183,176,170,163,156,147
2013-05-24T07,188,183,176,170,163,156
2013-05-24T08,190,188,183,176,170,163
2013-05-24T09,190,190,188,183,176,170
2013-05-24T10,188,190,190,188,183,176
2013-05-24T11,182,188,190,190,188,183
2013-05-24T12,175,182,188,190,190,188
2013-05-24T13,170,175,182,188,190,190
2013-05-24T14,165,170,175,182,188,190
2013-05-24T15,163,165,170,175,182,188
2013-05-24T16,160,163,165,170,175,182
2013-05-24T17,159,160,163,165,170,175
2013-05-24T18,155,159,160,163,165,170
2013-05-24T19,152,155,159,160,163,165
2013-05-24T20,149,152,155,159,160,163
2013-05-24T21,145,149,152,155,159,160
2013-05-24T22,140,145,149,152,155,159
2013-05-24T23,137,140,145,149,152,155
2013-05-25T00,129,137,140,145,149,152
2013-05-25T01,122,129,137,140,145,149
2013-05-25T02,113,122,129,137,140,145
2013-05-25T03,105,113,122,129,137,140
2013-05-25T04,99,105,113,122,129,137
2013-05-25T05,92,99,105,113,122,129
2013-05-25T06,86,92,99,105,113,122
2013-05-25T07,83,86,92,99,105,113
2013-05-25T08,77,83,86,92,99,105
2013-05-25T09,74,77,83,86,92,99
2013-05-25T10,72,74,77,83,86,92
2013-05-25T11,72,72,74,77,83,86
2013-05-25T12,72,72,72,74,77,83
2013-05-25T13,74,72,72,72,74,77
2013-05-25T14,97,74,72,72,72,74
2013-05-25T15,107,97,74,72,72,72
2013-05-25T16,121,107,97,74,72,72
2013-05-25T17,124,121,107,97,74,72
2013-05-25T18,122,124,121,107,97,74
2013-05-25T19,137,122,124,121,107,97
2013-05-25T20,140,137,122,124,121,107
2013-05-25T21,135,140,137,122,124,121
2013-05-25T22,117,135,140,137,122,124
2013-05-25T23,93,117,135,140,137,122
2013-05-26T00,87,93,117,135,140,137
2013-05-26T01,89,87,93,117,135,140
2013-05-26T02,90,89,87,93,117,135
