KB,AQI0,AQI1,AQI2,AQI3,Label0,Label1,Label2,Label3,Change1,Change2,Change3
2013-05-22T09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T21,NaN,NaN,NaN,115,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-22T22,NaN,NaN,NaN,125,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-22T23,NaN,NaN,NaN,133,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-23T00,NaN,NaN,NaN,132,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-23T01,NaN,NaN,NaN,128,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-23T02,NaN,NaN,NaN,126,NaN,NaN,NaN,2,NaN,NaN,NaN
2013-05-23T03,NaN,NaN,115,125,NaN,NaN,2,2,NaN,NaN,NaN
2013-05-23T04,NaN,NaN,125,127,NaN,NaN,2,2,NaN,NaN,NaN
2013-05-23T05,NaN,NaN,133,129,NaN,NaN,2,2,NaN,NaN,NaN
2013-05-23T06,NaN,NaN,132,137,NaN,NaN,2,2,NaN,NaN,NaN
2013-05-23T07,NaN,NaN,128,147,NaN,NaN,2,2,NaN,NaN,NaN
2013-05-23T08,NaN,NaN,126,156,NaN,NaN,2,3,NaN,NaN,NaN
2013-05-23T09,NaN,115,125,163,NaN,2,2,3,NaN,NaN,NaN
2013-05-23T10,NaN,125,127,170,NaN,2,2,3,NaN,NaN,NaN
2013-05-23T11,NaN,133,129,176,NaN,2,2,3,NaN,NaN,NaN
2013-05-23T12,NaN,132,137,183,NaN,2,2,3,NaN,NaN,NaN
2013-05-23T13,NaN,128,147,188,NaN,2,2,3,NaN,NaN,NaN
2013-05-23T14,NaN,126,156,190,NaN,2,3,3,NaN,NaN,NaN
2013-05-23T15,115,125,163,190,2,2,3,3,2-2,2-3,2-3
2013-05-23T16,125,127,170,188,2,2,3,3,2-2,2-3,2-3
