KB,AQI-0,AQI-1,AQI-2,AQI-3,AQI-4,AQI-5
2013-05-22T09,119,NaN,NaN,NaN,NaN,NaN
2013-05-22T10,125,119,NaN,NaN,NaN,NaN
2013-05-22T11,132,125,119,NaN,NaN,NaN
2013-05-22T12,135,132,125,119,NaN,NaN
2013-05-22T13,140,135,132,125,119,NaN
2013-05-22T14,138,140,135,132,125,119
2013-05-22T15,132,138,140,135,132,125
2013-05-22T16,127,132,138,140,135,132
2013-05-22T17,119,127,132,138,140,135
2013-05-22T18,115,119,127,132,138,140
2013-05-22T19,110,115,119,127,132,138
2013-05-22T20,107,110,115,119,127,132
2013-05-22T21,103,107,110,115,119,127
2013-05-22T22,99,103,107,110,115,119
2013-05-22T23,97,99,103,107,110,115
2013-05-23T00,95,97,99,103,107,110
2013-05-23T01,94,95,97,99,103,107
2013-05-23T02,92,94,95,97,99,103
2013-05-23T03,92,92,94,95,97,99
2013-05-23T04,90,92,92,94,95,97
2013-05-23T05,90,90,92,92,94,95
2013-05-23T06,89,90,90,92,92,94
2013-05-23T07,88,89,90,90,92,92
2013-05-23T08,87,88,89,90,90,92
2013-05-23T09,83,87,88,89,90,90
2013-05-23T10,77,83,87,88,89,90
2013-05-23T11,73,77,83,87,88,89
2013-05-23T12,69,73,77,83,87,88
2013-05-23T13,65,69,73,77,83,87
2013-05-23T14,67,65,69,73,77,83
2013-05-23T15,69,67,65,69,73,77
2013-05-23T16,70,69,67,65,69,73
2013-05-23T17,73,70,69,67,65,69
2013-05-23T18,75,73,70,69,67,65
2013-05-23T19,75,75,73,70,69,67
2013-05-23T20,75,75,75,73,70,69
2013-05-23T21,75,75,75,75,73,70
2013-05-23T22,77,75,75,75,75,73
2013-05-23T23,77,77,75,75,75,75
2013-05-24T00,77,77,77,75,75,75
2013-05-24T01,77,77,77,77,75,75
2013-05-24T02,78,77,77,77,77,75
2013-05-24T03,78,78,77,77,77,77
2013-05-24T04,78,78,78,77,77,77
2013-05-24T05,78,78,78,78,77,77
2013-05-24T06,79,78,78,78,78,77
