KB,AQI0,AQI1,AQI2,AQI3,Label0,Label1,Label2,Label3,Change1,Change2,Change3
2013-05-22T09,132,122,90,84,2,2,1,1,2-2,2-1,2-1
2013-05-22T10,134,115,88,84,2,2,1,1,2-2,2-1,2-1
2013-05-22T11,137,108,85,84,2,2,1,1,2-2,2-1,2-1
2013-05-22T12,143,103,84,84,2,2,1,1,2-2,2-1,2-1
2013-05-22T13,147,98,84,83,2,1,1,1,2-1,2-1,2-1
2013-05-22T14,135,94,84,82,2,1,1,1,2-1,2-1,2-1
2013-05-22T15,122,90,84,82,2,1,1,1,2-1,2-1,2-1
2013-05-22T16,115,88,84,77,2,1,1,1,2-1,2-1,2-1
2013-05-22T17,108,85,84,73,2,1,1,1,2-1,2-1,2-1
2013-05-22T18,103,84,84,69,2,1,1,1,2-1,2-1,2-1
2013-05-22T19,98,84,83,67,1,1,1,1,1-1,1-1,1-1
2013-05-22T20,94,84,82,67,1,1,1,1,1-1,1-1,1-1
2013-05-22T21,90,84,82,69,1,1,1,1,1-1,1-1,1-1
2013-05-22T22,88,84,77,72,1,1,1,1,1-1,1-1,1-1
2013-05-22T23,85,84,73,74,1,1,1,1,1-1,1-1,1-1
2013-05-23T00,84,84,69,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T01,84,83,67,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T02,84,82,67,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T03,84,82,69,77,1,1,1,1,1-1,1-1,1-1
2013-05-23T04,84,77,72,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T05,84,73,74,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T06,84,69,75,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T07,83,67,75,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T08,82,67,75,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T09,82,69,77,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T10,77,72,78,77,1,1,1,1,1-1,1-1,1-1
2013-05-23T11,73,74,78,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T12,69,75,78,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T13,67,75,78,77,1,1,1,1,1-1,1-1,1-1
2013-05-23T14,67,75,78,79,1,1,1,1,1-1,1-1,1-1
2013-05-23T15,69,77,78,80,1,1,1,1,1-1,1-1,1-1
2013-05-23T16,72,78,77,80,1,1,1,1,1-1,1-1,1-1
2013-05-23T17,74,78,75,79,1,1,1,1,1-1,1-1,1-1
2013-05-23T18,75,78,75,79,1,1,1,1,1-1,1-1,1-1
2013-05-23T19,75,78,77,78,1,1,1,1,1-1,1-1,1-1
2013-05-23T20,75,78,79,75,1,1,1,1,1-1,1-1,1-1
2013-05-23T21,77,78,80,74,1,1,1,1,1-1,1-1,1-1
2013-05-23T22,78,77,80,73,1,1,1,1,1-1,1-1,1-1
2013-05-23T23,78,75,79,70,1,1,1,1,1-1,1-1,1-1
2013-05-24T00,78,75,79,72,1,1,1,1,1-1,1-1,1-1
2013-05-24T01,78,77,78,73,1,1,1,1,1-1,1-1,1-1
2013-05-24T02,78,79,75,77,1,1,1,1,1-1,1-1,1-1
2013-05-24T03,78,80,74,79,1,1,1,1,1-1,1-1,1-1
2013-05-24T04,77,80,73,82,1,1,1,1,1-1,1-1,1-1
